"Station","Latitude","Longitude","Depth","Temperature"
1,43.903,-69.578,0.917,17.9205
1,43.903,-69.578,0.92,17.9189
1,43.903,-69.578,0.916,17.9189
1,43.903,-69.578,0.916,17.9106
1,43.903,-69.578,0.921,17.8928
1,43.903,-69.578,0.916,17.9032
1,43.903,-69.578,0.913,17.9054
1,43.903,-69.578,0.919,17.8895
1,43.903,-69.578,0.924,17.8898
1,43.903,-69.578,0.915,17.8897
1,43.903,-69.578,0.913,17.8862
1,43.903,-69.578,0.919,17.8884
1,43.903,-69.578,0.919,17.8963
1,43.903,-69.578,0.917,17.9044
1,43.903,-69.578,0.919,17.9054
1,43.903,-69.578,0.92,17.8978
1,43.903,-69.578,0.918,17.8943
1,43.903,-69.578,0.917,17.8961
1,43.903,-69.578,0.923,17.8963
1,43.903,-69.578,0.92,17.898
1,43.903,-69.578,0.916,17.8938
1,43.903,-69.578,0.92,17.8701
1,43.903,-69.578,0.921,17.8583
1,43.903,-69.578,0.918,17.87
1,43.903,-69.578,0.918,17.8832
1,43.903,-69.578,0.922,17.8888
1,43.903,-69.578,0.975,17.8807
1,43.903,-69.578,1.126,17.8177
1,43.903,-69.578,1.296,17.5676
1,43.903,-69.578,1.447,17.5261
1,43.903,-69.578,1.475,17.5437
1,43.903,-69.578,1.474,17.5445
1,43.903,-69.578,1.476,17.5379
1,43.903,-69.578,1.471,17.5551
1,43.903,-69.578,1.479,17.5644
1,43.903,-69.578,1.559,17.5082
1,43.903,-69.578,1.652,17.4499
1,43.903,-69.578,1.745,17.4432
1,43.903,-69.578,1.839,17.4344
1,43.903,-69.578,1.933,17.4354
1,43.903,-69.578,2.032,17.4254
1,43.903,-69.578,2.13,17.4063
1,43.903,-69.578,2.229,17.3951
1,43.903,-69.578,2.333,17.3939
1,43.903,-69.578,2.437,17.3912
1,43.903,-69.578,2.539,17.3884
1,43.903,-69.578,2.636,17.3901
1,43.903,-69.578,2.734,17.386
1,43.903,-69.578,2.838,17.3853
1,43.903,-69.578,2.954,17.3703
1,43.903,-69.578,3.072,17.3682
1,43.903,-69.578,3.188,17.3673
1,43.903,-69.578,3.308,17.3647
1,43.903,-69.578,3.432,17.3654
1,43.903,-69.578,3.555,17.3669
1,43.903,-69.578,3.673,17.359
1,43.903,-69.578,3.791,17.3589
1,43.903,-69.578,3.91,17.3605
1,43.903,-69.578,4.031,17.3505
1,43.903,-69.578,4.155,17.3471
1,43.903,-69.578,4.275,17.3494
1,43.903,-69.578,4.395,17.3437
1,43.903,-69.578,4.518,17.3405
1,43.903,-69.578,4.638,17.342
1,43.903,-69.578,4.76,17.3376
1,43.903,-69.578,4.888,17.3347
1,43.903,-69.578,5.019,17.3341
1,43.903,-69.578,5.15,17.2815
1,43.903,-69.578,5.276,17.2496
1,43.903,-69.578,5.408,17.2365
1,43.903,-69.578,5.54,17.2309
1,43.903,-69.578,5.674,17.2296
1,43.903,-69.578,5.805,17.2264
1,43.903,-69.578,5.936,17.2258
1,43.903,-69.578,6.072,17.2249
1,43.903,-69.578,6.21,17.2246
1,43.903,-69.578,6.351,17.2256
1,43.903,-69.578,6.484,17.2254
1,43.903,-69.578,6.624,17.2243
1,43.903,-69.578,6.768,17.2198
1,43.903,-69.578,6.909,17.214
1,43.903,-69.578,7.048,17.2118
1,43.903,-69.578,7.193,17.2082
1,43.903,-69.578,7.332,17.2061
1,43.903,-69.578,7.473,17.1951
1,43.903,-69.578,7.618,17.1951
1,43.903,-69.578,7.766,17.1943
1,43.903,-69.578,7.913,17.1932
1,43.903,-69.578,8.059,17.1927
1,43.903,-69.578,8.202,17.1941
1,43.903,-69.578,8.35,17.1967
1,43.903,-69.578,8.499,17.1993
1,43.903,-69.578,8.648,17.1989
1,43.903,-69.578,8.801,17.1961
1,43.903,-69.578,8.947,17.1966
1,43.903,-69.578,9.099,17.1915
1,43.903,-69.578,9.248,17.1838
1,43.903,-69.578,9.401,17.1865
1,43.903,-69.578,9.553,17.1876
