Depth (m),Temperature ( C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance (uE/m^2/s,Fluorescence (mg/m^3),Turbidity (NTU),Beam (1/m),Oxygen (umol/kg),Oxygen (%sat)
1.101,13.9661,31.6071,23.5735,1.4786e+03,1.6145,0.0015,7.3381,231.923,89.55776
1.082,13.967,31.6085,23.5744,1.4503e+03,1.6145,0.0015,7.3288,231.617,89.44197
1.081,13.966,31.6107,23.5763,1.5130e+03,1.6854,0.0015,7.3102,231.247,89.29861
1.096,13.9713,31.6081,23.5732,1.6084e+03,1.6877,0.0015,7.3074,231.014,89.2166
1.115,13.9858,31.6027,23.5661,1.4295e+03,1.6976,0.0016,7.3224,230.782,89.14999
1.115,13.9923,31.6094,23.57,1.6548e+03,1.6999,0.0016,7.3264,230.853,89.19331
1.095,13.984,31.6106,23.5726,1.3139e+03,1.6213,0.0016,7.3309,231.125,89.28398
1.108,13.9761,31.6105,23.5741,1.4987e+03,1.5901,0.0016,7.3278,231.474,89.40442
1.176,13.964,31.613,23.5785,1.4336e+03,1.6259,0.0015,7.3271,231.967,89.57457
1.256,13.965,31.6067,23.5734,1.3204e+03,1.6511,0.0014,7.3351,232.086,89.61849
1.332,13.9779,31.6047,23.5693,1.3248e+03,1.6229,0.0015,7.348,232.051,89.627
1.388,13.9508,31.619,23.5858,1.3181e+03,1.5901,0.0016,7.3695,232.044,89.5841
1.434,13.9246,31.6143,23.5875,1.2791e+03,1.6107,0.0017,7.3592,232.054,89.5377
1.482,13.9247,31.6101,23.5842,1.3931e+03,1.6503,0.0019,7.3537,231.869,89.46389
1.549,13.9047,31.6173,23.5939,1.2802e+03,1.6648,0.0018,7.3429,231.939,89.45926
1.629,13.9007,31.6188,23.5959,1.1088e+03,1.7198,0.0016,7.3512,232.085,89.5095
1.698,13.8815,31.6193,23.6001,1.1818e+03,1.7159,0.0016,7.3683,231.884,89.39721
1.747,13.8729,31.6169,23.6,1.2509e+03,1.6747,0.0019,7.3689,231.109,89.08136
1.784,13.8759,31.6164,23.5991,1.0794e+03,1.6747,0.0019,7.3693,230.841,88.98325
1.835,13.8704,31.6169,23.6005,1.0700e+03,1.7098,0.0014,7.3739,231.246,89.12992
1.906,13.8621,31.6191,23.6039,1.0724e+03,1.7114,0.0014,7.3736,232.209,89.48729
1.983,13.8563,31.618,23.6043,1.0217e+03,1.7388,0.0015,7.372,233.252,89.87822
2.045,13.8556,31.6177,23.6042,1.0642e+03,1.7442,0.0016,7.3633,233.562,89.99599
2.095,13.8366,31.6234,23.6124,1.0060e+03,1.761,0.0017,7.3578,233.299,89.8638
2.144,13.8347,31.6207,23.6108,9.6022e+02,1.7686,0.0017,7.3677,232.239,89.45033
2.205,13.8224,31.624,23.6157,9.1477e+02,1.8105,0.0016,7.37,231.407,89.10983
2.271,13.8274,31.6184,23.6104,9.0422e+02,1.8426,0.0016,7.3719,230.844,88.89843
2.338,13.8216,31.6228,23.615,8.5194e+02,1.8426,0.0017,7.3609,230.706,88.8375
2.404,13.8179,31.621,23.6143,8.3490e+02,1.8426,0.0017,7.3513,230.804,88.86738
2.47,13.8096,31.6252,23.6193,8.4508e+02,1.8899,0.0017,7.3636,230.715,88.82082
